	target_1	target_2	interface	energy	time
30	6ltjI	7x5eB	3t98AB	-19.288	2023-08-05 08:08:34
31	6ltjI	7x5fF	1dtjAD	-16.555	2023-08-05 08:08:34
32	6ltjI	7x5fF	1k1fCD	-5.096	2023-08-05 08:08:34
33	6ltjI	7x5fF	1m3wAC	-14.836	2023-08-05 08:08:34
34	6ltjI	7x5fF	1r0dAI	-8.941	2023-08-05 08:08:34
35	6ltjI	7x5fF	1sedBC	-14.744	2023-08-05 08:08:34
36	6ltjI	7x5fF	1xkmAC	-17.595	2023-08-05 08:08:34
37	6ltjI	7x5fF	1ztdAB	-15.483	2023-08-05 08:08:34
38	6ltjI	7x5fF	2w4912	-29.134	2023-08-05 08:08:34
39	6ltjI	7x5fF	3c4rBD	-5.694	2023-08-05 08:08:34
40	6ltjI	7x5fF	3f1iHS	-14.471	2023-08-05 08:08:34
41	6ltjI	7x5fF	3iynRS	-11.881	2023-08-05 08:08:34
42	6ltjI	7x5fF	3l0lAB	-8.698	2023-08-05 08:08:34
43	6ltjI	7x5fF	3mkyBP	-10.691	2023-08-05 08:08:34
44	6ltjI	7x5fF	3p8cDF	-14.566	2023-08-05 08:08:34
45	6ltjI	7x5fF	3t98AB	-22.854	2023-08-05 08:08:34
46	6xnkA	3co6C	3omeAF	-8.809	2023-08-05 08:08:34
47	7o7bA	7vrbA	2g3kDE	-10.109	2023-08-05 08:08:34
48	7o7bA	7y8rI	1deeGH	-6.498	2023-08-05 08:08:34
49	7o7bA	7y8rI	3ku1DF	-5.584	2023-08-05 08:08:34
50	7o7bA	7y8rI	3lcnAB	-5.643	2023-08-05 08:08:34
51	7o7bA	7y8rI	3t1tAB	-11.817	2023-08-05 08:08:34
52	7y8rI	7x5eB	1g2yAC	-18.162	2023-08-05 08:08:34
53	7y8rI	7x5fF	3a3yAG	-16.821	2023-08-05 08:08:34
54	7y8rI	7x5eB	3eqxAB	-14.554	2023-08-05 08:08:34
55	7y8rI	7x5fF	3e98AB	-6.83	2023-08-05 08:08:34
56	7y8rI	7x5fF	3ii6CD	-12.266	2023-08-05 08:08:34
57	7y8rI	7x5fF	3iynRS	-16.242	2023-08-05 08:08:34
58	7y8rI	7x5fF	3j0jIJ	-21.788	2023-08-05 08:08:34
59	7y8rI	7x5fF	3kypEF	-21.539	2023-08-05 08:08:34
60	7y8rI	7x5fF	3l0lAB	-10.417	2023-08-05 08:08:34
61	7y8rI	7x5fF	3raqAB	-20.106	2023-08-05 08:08:34
62	7y8rI	7x5fF	2o1jAB	-24.588	2023-08-05 08:08:34
63	7y8rI	7x5fF	2yqyAB	-10.785	2023-08-05 08:08:34
64	7y8rI	7x5fF	2spcAB	-22.09	2023-08-05 08:08:34
65	7y8rI	7x5fF	2odmAB	-6.781	2023-08-05 08:08:34
66	7y8rI	7x5eB	2d4uAB	-10.347	2023-08-05 08:08:34
67	7y8rI	7x5eB	2g18AJ	-10.567	2023-08-05 08:08:34
68	7y8rI	7x5eB	2os9BC	-5.021	2023-08-05 08:08:34
69	7y8rI	7x5eB	2wy2BC	-20.801	2023-08-05 08:08:34
70	7y8rI	7x5eB	3e98AB	-16.048	2023-08-05 08:08:34
71	7y8rI	7x5eB	3hlsFG	-29.156	2023-08-05 08:08:34
72	7y8rI	7x5eB	3ii6CD	-11.996	2023-08-05 08:08:34
73	7y8rI	7x5eB	3raqAB	-19.121	2023-08-05 08:08:34
74	7y8rI	7x5fF	1xsxAB	-31.763	2023-08-05 08:08:34
75	7y8rI	7x5fF	2fvhBC	-16.579	2023-08-05 08:08:34
76	7vdvA	7x5eB	1avzAB	-6.125	2023-08-05 08:08:34
77	7vdvA	7x5eB	1g6uAB	-9.624	2023-08-05 08:08:34
78	7vdvA	7x5eB	2cpgBC	-18.037	2023-08-05 08:08:34
79	7vdvA	7x5eB	2ehwAB	-10.33	2023-08-05 08:08:34
80	7vdvA	7x5eB	2eqbBC	-16.284	2023-08-05 08:08:34
81	7vdvA	7x5eB	2o1jAB	-16.963	2023-08-05 08:08:34
82	7vdvA	7x5eB	2otkEF	-16.137	2023-08-05 08:08:34
83	7vdvA	7x5eB	3c4rBD	-16.343	2023-08-05 08:08:34
84	7vdvA	7x5eB	3ezqAC	-17.252	2023-08-05 08:08:34
85	7vdvA	7x5eB	3ii6CD	-7.074	2023-08-05 08:08:34
86	7vdvA	7x5eB	3nrxAB	-21.952	2023-08-05 08:08:34
87	7vdvA	7x5fF	1jr3DE	-9.019	2023-08-05 08:08:34
88	7vdvA	7x5fF	1s1cXY	-22.291	2023-08-05 08:08:34
89	7vdvA	7x5fF	1xkmAC	-10.812	2023-08-05 08:08:34
90	7vdvA	7x5fF	1yv0IT	-10.364	2023-08-05 08:08:34
91	7vdvA	7x5fF	2o1jAB	-19.615	2023-08-05 08:08:34
92	7vdvA	7x5fF	2w4912	-20.511	2023-08-05 08:08:34
93	7vdvA	7x5fF	2zvnFH	-11.084	2023-08-05 08:08:34
94	7vdvA	7x5fF	3c4rBD	-14.102	2023-08-05 08:08:34
95	7vdvA	7x5fF	3ezqAC	-21.016	2023-08-05 08:08:34
96	7vdvA	7x5fF	3f1iHS	-6.283	2023-08-05 08:08:34
97	7vdvA	7x5fF	3ii6CD	-10.676	2023-08-05 08:08:34
98	7vdvA	7x5fF	3n27AC	-22.893	2023-08-05 08:08:34
99	7vdvA	7x5fF	3t98AB	-8.726	2023-08-05 08:08:34
100	7vrbA	7x5eB	1g2yAC	-6.847	2023-08-05 08:08:34
101	7vrbA	7x5eB	1ow7BC	-9.654	2023-08-05 08:08:34
102	7vrbA	7x5eB	3d36AC	-13.027	2023-08-05 08:08:34
103	7vrbA	7x5fF	1sedBC	-11.827	2023-08-05 08:08:34
104	7vrbA	7x5fF	2hw5AB	-15.234	2023-08-05 08:08:34
105	7vrbA	7x5fF	2qgxCD	-9.783	2023-08-05 08:08:34
106	7vrbA	7x5fF	3ff5AB	-17.519	2023-08-05 08:08:34
107	7vrbA	7x5fF	3kawGH	-9.847	2023-08-05 08:08:34
108	7vrbA	7x5fF	3ph0AC	-10.103	2023-08-05 08:08:34
109	7vrbA	7x5fF	3swfAB	-18.775	2023-08-05 08:08:34
110	7vrbA	7x5fF	3tsiAB	-13.489	2023-08-05 08:08:34
111	7w7zA	5vvcD	2aytAB	-19.474	2023-08-05 08:08:34
112	7w7zA	5vvcD	2h8pCD	-6.943	2023-08-05 08:08:34
113	7w7zA	5vvcD	2oxlAB	-5.234	2023-08-05 08:08:34
114	7w7zA	5vvcD	2w8mAB	-16.592	2023-08-05 08:08:34
115	7x5eB	2h60A	1favAC	-10.542	2023-08-05 08:08:34
116	7x5eB	2h60A	1fvfAB	-11.677	2023-08-05 08:08:34
117	7x5eB	2h60A	2hilBL	-16.266	2023-08-05 08:08:34
118	7x5eB	2h60A	3bccEJ	-11.7	2023-08-05 08:08:34
119	7x5eB	2h60A	3sr2EF	-14.15	2023-08-05 08:08:34
120	7x5eB	6ltjI	1htmDF	-19.708	2023-08-05 08:08:34
121	7x5eB	6ltjI	1mdyAB	-17.545	2023-08-05 08:08:34
122	7x5eB	6ltjI	1r0dAI	-18.721	2023-08-05 08:08:34
123	7x5eB	6ltjI	1y4mAB	-17.901	2023-08-05 08:08:34
124	7x5eB	6ltjI	2kj1AD	-15.137	2023-08-05 08:08:34
125	7x5eB	6ltjI	2x7xAB	-15.205	2023-08-05 08:08:34
126	7x5eB	6ltjI	2xndLM	-30.957	2023-08-05 08:08:34
127	7x5eB	6ltjI	3gk0FG	-15.073	2023-08-05 08:08:34
128	7x5eB	6ltjI	3mkyBP	-5.398	2023-08-05 08:08:34
129	7x5eB	6ltjI	3pzdAB	-6.452	2023-08-05 08:08:34
130	7x5eB	6ltjI	3rguAB	-5.178	2023-08-05 08:08:34
131	7x5eB	6ltjI	3tsiAB	-14.398	2023-08-05 08:08:34
132	7x5eB	7vdvA	1fvfAB	-14.539	2023-08-05 08:08:34
133	7x5eB	7vdvA	1oedAE	-20.581	2023-08-05 08:08:34
134	7x5eB	7vdvA	1u5uAB	-18.479	2023-08-05 08:08:34
135	7x5eB	7vdvA	1ufiAB	-8.51	2023-08-05 08:08:34
136	7x5eB	7vdvA	1wncDF	-10.958	2023-08-05 08:08:34
137	7x5eB	7vdvA	2eqbBC	-23.844	2023-08-05 08:08:34
138	7x5eB	7vdvA	2qa7CD	-13.966	2023-08-05 08:08:34
139	7x5eB	7vdvA	3ezqAC	-14.584	2023-08-05 08:08:34
140	7x5eB	7vdvA	3k6cBC	-18.989	2023-08-05 08:08:34
141	7x5eB	7vdvA	3mkyBP	-6.232	2023-08-05 08:08:34
142	7x5eB	7vdvA	3nrxAB	-20.465	2023-08-05 08:08:34
143	7x5eB	7vrbA	1r0dAI	-6.529	2023-08-05 08:08:34
144	7x5eB	7vrbA	2eulCD	-12.572	2023-08-05 08:08:34
145	7x5eB	7vrbA	2p1iBC	-14.441	2023-08-05 08:08:34
146	7x5eB	7vrbA	2w2uAB	-11.19	2023-08-05 08:08:34
147	7x5eB	7vrbA	3enoEF	-10.744	2023-08-05 08:08:34
148	7x5eB	7vrbA	3rguAB	-7.756	2023-08-05 08:08:34
149	7x5eB	7y8rI	1favAC	-11.468	2023-08-05 08:08:34
150	7x5eB	7y8rI	1oedAE	-11.27	2023-08-05 08:08:34
151	7x5eB	7y8rI	1u5uAB	-23.715	2023-08-05 08:08:34
152	7x5eB	7y8rI	1ufiAB	-14.582	2023-08-05 08:08:34
153	7x5eB	7y8rI	1xouAB	-16.331	2023-08-05 08:08:34
154	7x5eB	7y8rI	1y4mAB	-17.896	2023-08-05 08:08:34
155	7x5eB	7y8rI	2ehwAB	-23.262	2023-08-05 08:08:34
156	7x5eB	7y8rI	2eqbBC	-20.164	2023-08-05 08:08:34
157	7x5eB	7y8rI	2gboAB	-23.008	2023-08-05 08:08:34
158	7x5eB	7y8rI	2hilBL	-10.393	2023-08-05 08:08:34
159	7x5eB	7y8rI	2qa7CD	-18.937	2023-08-05 08:08:34
160	7x5eB	7y8rI	2wl8AD	-13.49	2023-08-05 08:08:34
161	7x5eB	7y8rI	2wy2BC	-14.021	2023-08-05 08:08:34
162	7x5eB	7y8rI	2xndLM	-14.045	2023-08-05 08:08:34
163	7x5eB	7y8rI	2zvnFH	-19.849	2023-08-05 08:08:34
164	7x5eB	7y8rI	3eqxAB	-15.73	2023-08-05 08:08:34
165	7x5eB	7y8rI	3k6cBC	-28.053	2023-08-05 08:08:34
166	7x5eB	7y8rI	3l0lAB	-9.975	2023-08-05 08:08:34
167	7x5eB	7y8rI	3ls1AB	-14.449	2023-08-05 08:08:34
168	7x5eB	7y8rI	3mkyBP	-11.549	2023-08-05 08:08:34
169	7x5eB	7y8rI	3nrxAB	-16.73	2023-08-05 08:08:34
170	7x5eB	7y8rI	3raqAB	-16.365	2023-08-05 08:08:34
171	7x5fF	2h60A	1fvfAB	-12.898	2023-08-05 08:08:34
172	7x5fF	2h60A	1rhgAC	-5.692	2023-08-05 08:08:34
173	7x5fF	2h60A	2eiaAB	-18.307	2023-08-05 08:08:34
174	7x5fF	5ea1B	2yqyAB	-17.077	2023-08-05 08:08:34
175	7x5fF	5ea1B	3ehhAB	-12.39	2023-08-05 08:08:34
176	7x5fF	5ea1B	3n27AC	-12.459	2023-08-05 08:08:34
177	7x5fF	6ltjI	1htmDF	-24.62	2023-08-05 08:08:34
178	7x5fF	6ltjI	1m3wAC	-11.337	2023-08-05 08:08:34
179	7x5fF	6ltjI	1mdyAB	-15.482	2023-08-05 08:08:34
180	7x5fF	6ltjI	1y0uAB	-18.366	2023-08-05 08:08:34
181	7x5fF	6ltjI	2kj1AD	-22.164	2023-08-05 08:08:34
182	7x5fF	6ltjI	3j0jIJ	-22.099	2023-08-05 08:08:34
183	7x5fF	6ltjI	3kypEF	-10.228	2023-08-05 08:08:34
184	7x5fF	6ltjI	3mkyBP	-5.863	2023-08-05 08:08:34
185	7x5fF	6ltjI	3p8cDE	-20.218	2023-08-05 08:08:34
186	7x5fF	6ltjI	3tsiAB	-12.458	2023-08-05 08:08:34
187	7x5fF	7vdvA	1fvfAB	-18.227	2023-08-05 08:08:34
188	7x5fF	7vdvA	1u5uAB	-22.77	2023-08-05 08:08:34
189	7x5fF	7vdvA	1wncDF	-6.636	2023-08-05 08:08:34
190	7x5fF	7vdvA	2c9nYZ	-11.611	2023-08-05 08:08:34
191	7x5fF	7vdvA	2eqbBC	-21.139	2023-08-05 08:08:34
192	7x5fF	7vdvA	2odmAB	-7.16	2023-08-05 08:08:34
193	7x5fF	7vdvA	2qa7CD	-10.462	2023-08-05 08:08:34
194	7x5fF	7vdvA	2raxEF	-7.377	2023-08-05 08:08:34
195	7x5fF	7vdvA	2spcAB	-17.623	2023-08-05 08:08:34
196	7x5fF	7vdvA	3eabGL	-9.746	2023-08-05 08:08:34
197	7x5fF	7vdvA	3k6cBC	-19.334	2023-08-05 08:08:34
198	7x5fF	7vdvA	3swfAB	-16.604	2023-08-05 08:08:34
199	7x5fF	7vrbA	1zllAB	-26.801	2023-08-05 08:08:34
200	7x5fF	7vrbA	2ieqAC	-20.579	2023-08-05 08:08:34
201	7x5fF	7vrbA	2q00AB	-9.766	2023-08-05 08:08:34
202	7x5fF	7vrbA	2w2uAB	-6.822	2023-08-05 08:08:34
203	7x5fF	7vrbA	3kavAB	-9.838	2023-08-05 08:08:34
204	7x5fF	7vrbA	3kawGH	-14.297	2023-08-05 08:08:34
205	7x5fF	7vrbA	3swfAB	-13.581	2023-08-05 08:08:34
206	7x5fF	7vrbA	3tlxAC	-16.046	2023-08-05 08:08:34
207	7x5fF	7y8rI	1ec5BC	-20.366	2023-08-05 08:08:34
208	7x5fF	7y8rI	1fvfAB	-15.392	2023-08-05 08:08:34
209	7x5fF	7y8rI	1ud0AB	-10.061	2023-08-05 08:08:34
210	7x5fF	7y8rI	1ufiAB	-15.647	2023-08-05 08:08:34
211	7x5fF	7y8rI	1vf5NR	-14.424	2023-08-05 08:08:34
212	7x5fF	7y8rI	1xsxAB	-23.813	2023-08-05 08:08:34
213	7x5fF	7y8rI	2c9nYZ	-17.168	2023-08-05 08:08:34
214	7x5fF	7y8rI	2d4uAB	-6.938	2023-08-05 08:08:34
215	7x5fF	7y8rI	2ejqAB	-10.268	2023-08-05 08:08:34
216	7x5fF	7y8rI	2eqbBC	-5.806	2023-08-05 08:08:34
217	7x5fF	7y8rI	2gr7DF	-5.315	2023-08-05 08:08:34
218	7x5fF	7y8rI	2qa7CD	-14.833	2023-08-05 08:08:34
219	7x5fF	7y8rI	2wl8AD	-7.821	2023-08-05 08:08:34
220	7x5fF	7y8rI	3f1iHS	-12.932	2023-08-05 08:08:34
221	7x5fF	7y8rI	3gjoCD	-21.121	2023-08-05 08:08:34
222	7x5fF	7y8rI	3kqgAB	-19.201	2023-08-05 08:08:34
223	7x5fF	7y8rI	3n4xAB	-17.826	2023-08-05 08:08:34
224	7x5fF	7y8rI	3raqAB	-20.085	2023-08-05 08:08:34
225	7p8wA	5vvcD	2c0kAB	-7.833	2023-08-05 07:32:52
226	6yq1B	2zoqA	2j90AB	-7.012	2023-08-05 07:32:52
227	6yq1B	2zoqA	3n9xAB	-5.524	2023-08-05 07:32:52
228	8a8mA	3d0eA	3u9sBJ	-11.359	2023-08-05 07:32:52
229	8a8mA	3d0eA	3n9xAB	-15.18	2023-08-05 07:32:52
230	8a8mA	3d0eA	2qg5AB	-7.628	2023-08-05 07:32:52
231	8a8mA	1gzkA	2qg5AB	-14.277	2023-08-05 07:32:52
232	8a8mA	1gzkA	2jamAB	-6.432	2023-08-05 07:32:52
233	1p6sA	4kikB	3etaAB	-10.342	2023-08-05 07:32:52
234	1t2kC	5vvcD	1g6uAB	-13.241	2023-08-05 07:32:52
235	1t2kC	5vvcD	1i8dBC	-13.06	2023-08-05 07:32:52
236	1t2kC	5vvcD	2bcoAB	-8.271	2023-08-05 07:32:52
237	1t2kC	5vvcD	2h8pCD	-10.028	2023-08-05 07:32:52
238	1t2kC	5vvcD	2x7lMN	-9.598	2023-08-05 07:32:52
239	1t2kC	5vvcD	3ezqAC	-9.951	2023-08-05 07:32:52
240	2lgcA	1gzkA	2jamAB	-7.552	2023-08-05 07:32:52
241	2lgcA	1gzkA	2qg5AB	-7.288	2023-08-05 07:32:52
242	2lgcA	3d0eA	3n9xAB	-20.272	2023-08-05 07:32:52
243	1gzkA	2lgcA	1y8gAB	-7.148	2023-08-05 07:32:52
244	1gzkA	2lgcA	2jamAB	-7.371	2023-08-05 07:32:52
245	1gzkA	3od6X	1p4oAB	-9.124	2023-08-05 07:32:52
246	1gzkA	3od6X	2j90AB	-10.434	2023-08-05 07:32:52
247	1gzkA	3od6X	2jamAB	-6.39	2023-08-05 07:32:52
248	1gzkA	3od6X	2qg5AB	-15.54	2023-08-05 07:32:52
249	1gzkA	3od6X	2wzjBC	-8.286	2023-08-05 07:32:52
250	1gzkA	4e3cA	1mruAB	-10.048	2023-08-05 07:32:52
251	1gzkA	4e3cA	2jamAB	-16.872	2023-08-05 07:32:52
252	1gzkA	4e3cA	3dakAD	-12.202	2023-08-05 07:32:52
253	1gzkA	4e3cB	1mruAB	-16.085	2023-08-05 07:32:52
254	1gzkA	4e3cB	2bmcEF	-6.625	2023-08-05 07:32:52
255	1gzkA	4e3cB	3a60AB	-9.901	2023-08-05 07:32:52
256	1gzkA	4e3cB	3dakAD	-5.176	2023-08-05 07:32:52
257	1gzkA	4e3cF	1mruAB	-20.702	2023-08-05 07:32:52
258	1gzkA	4e3cF	2jamAB	-11.61	2023-08-05 07:32:52
259	1gzkA	4e3cF	3a60AB	-6.959	2023-08-05 07:32:52
260	1gzkA	4e3cF	3dakAD	-9.349	2023-08-05 07:32:52
261	1gzkA	4kikB	1mruAB	-16.13	2023-08-05 07:32:52
262	1gzkA	4kikB	2jamAB	-13.772	2023-08-05 07:32:52
263	1gzkA	4kikB	2qg5AB	-13.406	2023-08-05 07:32:52
264	1gzkA	4kikB	3dakAD	-6.435	2023-08-05 07:32:52
265	1gzkA	4kikB	3miyAB	-5.757	2023-08-05 07:32:52
266	1gzkA	5etcA	2jamAB	-29.531	2023-08-05 07:32:52
267	1gzkA	8a8mA	2qg5AB	-10.589	2023-08-05 07:32:52
268	1k05B	2zoqA	2z3rGK	-7.655	2023-08-05 07:32:52
269	1olgA	5vvcD	1g6uAB	-12.18	2023-08-05 07:32:52
270	1olgA	5vvcD	1hzdBF	-16.739	2023-08-05 07:32:52
271	1olgA	5vvcD	1vf5NR	-11.854	2023-08-05 07:32:52
272	1olgA	5vvcD	3l32AB	-7.299	2023-08-05 07:32:52
273	2wtkC	4yknA	1deeGH	-6.238	2023-08-05 07:32:52
274	2wtkC	4yknA	3zylAB	-12.781	2023-08-05 07:32:52
275	2zoqA	6yq1B	2j90AB	-8.407	2023-08-05 07:32:52
276	2zoqA	6yq1B	2jivAB	-6.016	2023-08-05 07:32:52
277	2zoqA	6yq1B	3kulAB	-10.271	2023-08-05 07:32:52
278	3d0eA	2lgcA	2qg5AB	-8.718	2023-08-05 07:32:52
279	3d0eA	2lgcA	3n9xAB	-19.789	2023-08-05 07:32:52
280	3d0eA	2lgcA	3zrmAB	-7.514	2023-08-05 07:32:52
281	3d0eA	3od6X	1yrpAB	-8.554	2023-08-05 07:32:52
282	3d0eA	3od6X	2qg5AB	-6.848	2023-08-05 07:32:52
283	3d0eA	3od6X	3n9xAB	-8.618	2023-08-05 07:32:52
284	3d0eA	3od6X	3zrmAB	-5.815	2023-08-05 07:32:52
285	3d0eA	4e3cA	1mruAB	-5.034	2023-08-05 07:32:52
286	3d0eA	4e3cA	3a60AB	-5.469	2023-08-05 07:32:52
287	3d0eA	4e3cB	1mruAB	-9.308	2023-08-05 07:32:52
288	3d0eA	4e3cB	3cokAB	-7.271	2023-08-05 07:32:52
289	3d0eA	4e3cB	3dakAD	-5.955	2023-08-05 07:32:52
290	3d0eA	4e3cF	1mruAB	-12.252	2023-08-05 07:32:52
291	3d0eA	4e3cF	3cokAB	-10.784	2023-08-05 07:32:52
292	3d0eA	4e3cF	3dakAD	-5.673	2023-08-05 07:32:52
293	3d0eA	4kikB	1mruAB	-13.282	2023-08-05 07:32:52
294	3d0eA	4kikB	2qg5AB	-7.408	2023-08-05 07:32:52
295	3d0eA	4kikB	3cokAB	-11.15	2023-08-05 07:32:52
296	3d0eA	4kikB	3dakAD	-8.276	2023-08-05 07:32:52
297	3d0eA	5etcA	1yrpAB	-5.822	2023-08-05 07:32:52
298	3d0eA	5etcA	3hv4AB	-6.065	2023-08-05 07:32:52
299	3d0eA	5etcA	3n9xAB	-5.135	2023-08-05 07:32:52
300	3d0eA	5etcA	3zrmAB	-9.2	2023-08-05 07:32:52
301	3d0eA	8a8mA	2qg5AB	-20.57	2023-08-05 07:32:52
302	3d0eA	8a8mA	3n9xAB	-13.325	2023-08-05 07:32:52
303	3d0eA	8a8mA	3zrmAB	-9.095	2023-08-05 07:32:52
304	3q05B	5vvcD	2rldBE	-5.16	2023-08-05 07:32:52
305	3q05B	5vvcD	3c4rBD	-5.135	2023-08-05 07:32:52
306	4e3cA	1gzkA	1mruAB	-15.951	2023-08-05 07:32:52
307	4e3cA	1gzkA	2jamAB	-15.84	2023-08-05 07:32:52
308	4e3cA	1gzkA	3cokAB	-16.235	2023-08-05 07:32:52
309	4e3cA	1gzkA	3dakAD	-10.64	2023-08-05 07:32:52
310	4e3cA	3d0eA	3a60AB	-11.767	2023-08-05 07:32:52
311	4e3cA	3d0eA	3cokAB	-17.904	2023-08-05 07:32:52
312	4e3cA	3d0eA	3dakAD	-5.328	2023-08-05 07:32:52
313	4e3cA	3d0eA	3tl8GH	-17.343	2023-08-05 07:32:52
314	4e3cB	1gzkA	1mruAB	-16.403	2023-08-05 07:32:52
315	4e3cB	1gzkA	1p4oAB	-14.319	2023-08-05 07:32:52
316	4e3cB	1gzkA	1yrpAB	-12.25	2023-08-05 07:32:52
317	4e3cB	1gzkA	2jamAB	-13.902	2023-08-05 07:32:52
318	4e3cB	1gzkA	3a60AB	-6.205	2023-08-05 07:32:52
319	4e3cB	1gzkA	3cokAB	-16.485	2023-08-05 07:32:52
320	4e3cB	1gzkA	3dakAD	-7.95	2023-08-05 07:32:52
321	4e3cB	1p6sA	2z3rGK	-11.178	2023-08-05 07:32:52
322	4e3cB	3d0eA	3cokAB	-5.355	2023-08-05 07:32:52
323	4e3cB	3d0eA	3tl8GH	-15.99	2023-08-05 07:32:52
324	4e3cF	1gzkA	1mruAB	-17.856	2023-08-05 07:32:52
325	4e3cF	1gzkA	1yrpAB	-17.034	2023-08-05 07:32:52
326	4e3cF	1gzkA	1zy4AB	-11.146	2023-08-05 07:32:52
327	4e3cF	1gzkA	3cokAB	-14.82	2023-08-05 07:32:52
328	4e3cF	1gzkA	3dakAD	-6.492	2023-08-05 07:32:52
329	4e3cF	1p6sA	2wivAB	-11.056	2023-08-05 07:32:52
330	4e3cF	3d0eA	1mruAB	-6.369	2023-08-05 07:32:52
331	4e3cF	3d0eA	3cokAB	-14.418	2023-08-05 07:32:52
332	4e3cF	3d0eA	3tl8GH	-24.134	2023-08-05 07:32:52
333	4kikB	1gzkA	1mruAB	-11.564	2023-08-05 07:32:52
334	4kikB	1gzkA	1yrpAB	-12.101	2023-08-05 07:32:52
335	4kikB	1gzkA	2jamAB	-14.041	2023-08-05 07:32:52
336	4kikB	1gzkA	3cokAB	-11.464	2023-08-05 07:32:52
337	4kikB	1gzkA	3dakAD	-8.42	2023-08-05 07:32:52
338	4kikB	1gzkA	3tl8AD	-7.159	2023-08-05 07:32:52
339	4kikB	3d0eA	1mruAB	-5.979	2023-08-05 07:32:52
340	4kikB	3d0eA	1p4oAB	-8.772	2023-08-05 07:32:52
341	4kikB	3d0eA	3cokAB	-11.613	2023-08-05 07:32:52
342	4yknA	4zdrA	3rguAB	-20.655	2023-08-05 07:32:52
343	5vvcD	1olgA	1g6uAB	-10.792	2023-08-05 07:32:52
344	5vvcD	1t2kC	1g6uAB	-9.714	2023-08-05 07:32:52
345	5vvcD	1t2kC	1gulFG	-6.598	2023-08-05 07:32:52
346	5vvcD	1t2kC	2x7lMN	-5.306	2023-08-05 07:32:52
347	5vvcD	1t2kC	3ezqAC	-9.372	2023-08-05 07:32:52
348	5vvcD	3q01A	1g6uAB	-13.917	2023-08-05 07:32:52
349	5vvcD	3q01B	1g6uAB	-11.7	2023-08-05 07:32:52
350	3od6X	1gzkA	1yrpAB	-11.131	2023-08-05 07:32:52
351	3od6X	1gzkA	2qg5AB	-12.85	2023-08-05 07:32:52
352	3od6X	3d0eA	1yrpAB	-11.801	2023-08-05 07:32:52
353	3od6X	3d0eA	2qg5AB	-10.724	2023-08-05 07:32:52
354	3od6X	3d0eA	3n9xAB	-12.161	2023-08-05 07:32:52
355	3q01A	5vvcD	1g6uAB	-8.305	2023-08-05 07:32:52
356	3q01A	5vvcD	1hzdBF	-13.796	2023-08-05 07:32:52
357	3q01A	5vvcD	3c4rBD	-15.882	2023-08-05 07:32:52
358	3q01B	5vvcD	1g6uAB	-13.289	2023-08-05 07:32:52
359	3q01B	5vvcD	1hzdBF	-22.544	2023-08-05 07:32:52
360	3q01B	5vvcD	1vf5NR	-23.398	2023-08-05 07:32:52
361	3q01B	5vvcD	5crxAB	-8.363	2023-08-05 07:32:52
362	5etcA	1gzkA	3ma6AB	-16.715	2023-08-05 07:32:52
